pair_id,doc_id,condition,focal_gender,focal_term,word_count,token_count,char_count,sentence_count,avg_sentence_length_words,subject_count,object_count,passive_subject_count,verb_count,aux_count,prep_phrase_count,relative_clause_count,subordinator_count
1,HP00069,flipped,male,man,163,194,965,11,14.82,17,3,2,13,15,18,1,3
1,HP00069,original,female,woman,154,176,879,1,154.0,23,21,0,22,22,22,0,0
2,HP00919,flipped,female,woman,175,211,950,7,25.0,21,8,3,21,12,24,5,2
2,HP00919,original,male,man,30,42,185,3,10.0,1,1,0,2,0,3,0,0
3,HP01278,flipped,male,man,157,197,999,10,15.7,15,7,2,18,5,28,1,2
3,HP01278,original,female,woman,137,192,769,1,137.0,14,0,0,14,0,27,1,0
4,HP01345,flipped,male,man,161,194,926,8,20.12,22,10,2,23,12,15,4,5
4,HP01345,original,female,woman,142,177,879,8,17.75,10,0,7,17,10,31,0,0
5,HP01609,flipped,male,man,114,161,798,2,57.0,13,9,0,17,3,15,0,1
5,HP01609,original,female,woman,106,159,797,3,35.33,10,8,1,11,4,10,1,0
6,HP01896,flipped,male,man,170,203,877,7,24.29,14,11,1,26,4,29,1,2
6,HP01896,original,female,woman,32,45,217,3,10.67,3,4,0,5,1,1,0,0
7,HP01962,flipped,male,man,153,199,816,11,13.91,25,10,2,26,13,11,3,2
7,HP01962,original,female,woman,144,177,918,4,36.0,19,3,5,16,7,22,2,6
8,HP02020,flipped,female,woman,46,64,336,2,23.0,5,3,1,6,3,4,2,1
8,HP02020,original,male,man,183,201,958,9,20.33,22,11,2,28,12,19,3,4
9,HP02066,flipped,male,man,167,200,895,12,13.92,22,1,4,24,20,16,3,5
9,HP02066,original,female,woman,165,187,890,10,16.5,22,6,7,25,18,15,2,0
10,HP02089,flipped,male,man,21,30,160,3,7.0,1,0,1,1,1,2,0,0
10,HP02089,original,female,woman,167,209,880,11,15.18,24,9,4,27,16,16,1,5
11,HP02180,flipped,female,woman,143,209,715,24,5.96,30,6,0,14,26,4,0,2
11,HP02180,original,male,man,5,8,48,1,5.0,0,0,0,0,0,1,0,0
12,HP02201,flipped,female,woman,173,202,872,11,15.73,21,7,2,24,17,21,5,1
