doc_id,variant,subjects,objects,passive_aux,verb_count,length
HP00028,male,27,42,1,31,364
HP00028,female,17,44,4,28,351
HP00059,male,29,43,2,41,354
HP00059,female,31,44,7,35,367
HP00148,male,26,50,3,41,390
HP00148,female,21,52,4,39,377
HP00149,male,22,43,1,29,357
HP00149,female,4,49,1,22,335
HP00167,male,29,44,7,44,364
HP00167,female,20,51,11,41,358
HP00180,male,37,42,1,56,371
HP00180,female,29,55,3,45,372
HP00203,male,31,50,5,40,414
HP00203,female,20,46,6,31,357
HP00285,male,29,43,1,38,353
HP00285,female,16,42,1,29,348
HP00331,male,28,33,3,32,364
HP00331,female,20,43,1,32,353
HP00339,male,19,55,5,32,373
HP00339,female,26,58,3,39,372
HP00341,male,25,35,1,24,346
HP00341,female,24,48,7,35,344
HP00362,male,26,47,6,31,377
HP00362,female,28,46,2,40,381
HP00390,male,38,43,5,44,390
HP00390,female,27,50,9,43,379
HP00433,male,24,52,3,36,362
HP00433,female,21,44,1,33,333
HP00487,male,18,50,3,34,361
HP00487,female,22,42,3,37,369
HP00513,male,27,34,2,37,358
HP00513,female,25,47,10,34,355
HP00528,male,13,30,2,26,229
HP00528,female,22,48,3,37,353
HP00536,male,22,54,2,36,357
HP00536,female,23,48,13,46,370
HP00557,male,29,37,4,36,359
HP00557,female,31,40,6,45,363
HP00614,male,28,46,11,43,387
HP00614,female,26,47,3,42,390
HP00657,male,24,26,2,16,349
HP00657,female,28,34,3,24,359
HP00704,male,24,49,5,35,372
HP00704,female,28,42,5,38,374
HP00705,male,24,46,7,40,371
HP00705,female,30,41,5,35,380
HP00714,male,21,52,2,40,380
HP00714,female,27,48,8,42,385
HP00715,male,16,50,3,25,372
HP00715,female,20,52,5,34,376
HP00735,male,27,50,3,39,397
HP00735,female,22,52,1,40,401
HP00739,male,28,49,9,35,373
HP00739,female,34,43,5,39,370
HP00788,male,31,45,1,39,372
HP00788,female,35,45,3,46,373
HP00816,male,21,41,2,37,340
HP00816,female,27,54,5,36,381
HP00827,male,25,30,2,21,328
HP00827,female,32,36,3,37,382
HP00831,male,20,43,8,30,371
HP00831,female,13,30,4,21,344
HP00855,male,29,43,6,38,322
HP00855,female,28,46,5,38,361
HP00860,male,26,37,3,37,352
HP00860,female,26,37,7,37,358
HP00870,male,16,39,1,33,352
HP00870,female,24,40,1,41,361
HP00877,male,32,38,1,27,383
HP00877,female,29,41,1,31,372
HP00919,male,34,48,4,48,382
HP00919,female,24,50,3,42,380
HP00931,male,10,27,2,18,201
HP00931,female,14,37,2,19,263
HP00967,male,21,49,1,29,380
HP00967,female,21,53,4,34,387
HP00999,male,25,47,3,29,359
HP00999,female,36,34,2,35,364
HP01003,male,24,48,3,37,367
HP01003,female,29,52,1,44,394
HP01064,male,21,46,13,40,361
HP01064,female,21,42,13,42,360
HP01067,male,35,51,2,43,383
HP01067,female,28,50,6,42,378
HP01074,male,26,50,2,40,380
HP01074,female,27,41,5,38,343
HP01088,male,14,40,1,37,355
HP01088,female,28,31,4,37,361
HP01093,male,20,38,2,34,360
HP01093,female,32,40,1,41,373
HP01128,male,32,35,6,42,369
HP01128,female,25,44,5,38,368
HP01135,male,16,57,1,41,355
HP01135,female,19,46,3,30,361
HP01157,male,33,42,4,45,384
HP01157,female,42,32,6,55,384
HP01165,male,29,46,4,41,386
HP01165,female,26,52,7,45,379
HP01207,male,25,66,7,54,445
HP01207,female,34,63,4,61,459
HP01222,male,19,55,1,27,368
HP01222,female,22,49,3,40,370
HP01230,male,25,36,1,26,366
HP01230,female,32,50,4,49,367
HP01232,male,18,43,10,33,368
HP01232,female,21,47,4,36,377
HP01260,male,27,44,3,29,399
HP01260,female,23,41,5,23,395
HP01278,male,29,42,6,37,360
HP01278,female,23,51,4,35,358
HP01298,male,24,52,7,26,372
HP01298,female,19,43,8,29,361
HP01345,male,34,47,3,40,358
HP01345,female,31,43,4,35,372
HP01393,male,27,47,4,46,368
HP01393,female,26,42,4,48,358
HP01403,male,19,53,5,29,373
HP01403,female,31,47,6,44,372
HP01452,male,16,31,6,22,288
HP01452,female,17,37,7,34,316
HP01481,male,32,34,2,23,411
HP01481,female,14,46,2,23,363
HP01487,male,22,39,6,45,382
HP01487,female,23,48,6,36,380
HP01511,male,24,42,8,32,372
HP01511,female,22,46,7,35,374
HP01549,male,24,39,4,35,344
HP01549,female,33,47,7,45,398
HP01563,male,32,45,4,42,378
HP01563,female,29,36,7,45,373
HP01564,male,23,44,3,29,361
HP01564,female,35,37,8,38,366
HP01596,male,19,53,1,43,377
HP01596,female,17,35,3,31,362
HP01609,male,18,47,3,28,346
HP01609,female,23,50,4,37,358
HP01622,male,36,40,3,45,387
HP01622,female,30,47,1,47,384
HP01640,male,34,41,2,47,382
HP01640,female,21,34,4,28,366
HP01659,male,16,44,2,29,355
HP01659,female,13,46,2,28,354
HP01696,male,23,41,3,34,371
HP01696,female,19,46,4,38,370
HP01699,male,19,46,2,27,378
HP01699,female,24,48,3,37,380
HP01748,male,27,53,2,34,396
HP01748,female,31,42,5,40,399
HP01755,male,21,43,4,32,357
HP01755,female,23,34,4,22,350
HP01773,male,28,50,3,51,381
HP01773,female,23,39,8,38,314
HP01775,male,23,48,5,30,324
HP01775,female,31,49,5,45,382
HP01786,male,17,40,5,36,367
HP01786,female,23,36,9,40,333
HP01818,male,18,46,2,32,365
HP01818,female,23,37,3,27,373
HP01896,male,23,46,3,46,365
HP01896,female,29,43,2,42,378
HP01916,male,22,52,4,33,384
HP01916,female,30,60,3,51,372
HP01920,male,39,45,7,50,374
HP01920,female,37,36,6,45,373
HP01929,male,20,45,8,36,370
HP01929,female,26,47,9,34,353
HP01952,male,20,47,8,27,337
HP01952,female,20,51,6,32,377
HP01961,male,30,47,8,37,371
HP01961,female,26,55,3,36,372
HP01962,male,29,47,3,39,352
HP01962,female,29,43,5,44,351
HP01966,male,8,18,3,17,161
HP01966,female,32,48,4,44,361
HP01973,male,26,51,10,34,372
HP01973,female,22,53,2,35,376
HP02002,male,19,51,3,41,382
HP02002,female,26,47,4,39,389
HP02020,male,21,51,3,33,357
HP02020,female,30,54,3,40,373
HP02024,male,25,46,4,44,377
HP02024,female,30,65,4,53,391
HP02029,male,28,53,10,40,405
HP02029,female,15,36,6,27,301
HP02039,male,24,48,1,42,365
HP02039,female,33,53,1,45,375
HP02042,male,32,43,1,46,398
HP02042,female,32,42,1,43,397
HP02043,male,18,47,1,31,375
HP02043,female,20,59,1,46,388
HP02048,male,23,57,3,46,357
HP02048,female,27,52,13,47,401
HP02052,male,29,57,8,48,414
HP02052,female,22,59,7,43,407
HP02066,male,25,53,7,67,372
HP02066,female,26,58,9,60,380
HP02067,male,26,55,14,44,409
HP02067,female,29,46,13,43,406
HP02070,male,18,48,10,41,401
HP02070,female,21,47,7,46,393
HP02074,male,32,36,7,41,337
HP02074,female,35,56,5,47,422
HP02086,male,45,28,6,71,392
HP02086,female,28,52,2,46,391
HP02089,male,16,43,10,44,368
HP02089,female,19,51,10,37,388
HP02097,male,12,36,5,27,242
HP02097,female,33,49,7,44,384
HP02100,male,23,45,2,44,381
HP02100,female,8,53,2,35,379
HP02101,male,24,56,3,32,386
HP02101,female,34,42,6,33,379
HP02111,male,26,44,8,45,393
HP02111,female,14,39,6,31,372
HP02123,male,37,44,10,51,414
HP02123,female,39,45,7,51,431
HP02126,male,22,37,15,27,405
HP02126,female,30,45,7,31,417
HP02127,male,17,50,7,35,388
HP02127,female,30,51,6,41,398
HP02144,male,15,53,6,23,363
HP02144,female,19,48,5,34,377
HP02158,male,25,37,8,34,351
HP02158,female,29,32,5,39,357
HP02180,male,13,65,1,29,343
HP02180,female,18,60,4,36,350
HP02183,male,19,60,8,52,393
HP02183,female,32,50,6,51,411
HP02184,male,35,50,11,43,398
HP02184,female,40,53,4,52,403
HP02185,male,23,40,6,37,388
HP02185,female,14,29,3,25,249
HP02191,male,26,44,10,47,388
HP02191,female,9,23,2,18,361
HP02201,male,39,50,4,53,412
HP02201,female,30,57,6,43,398
HP02204,male,27,47,3,41,385
HP02204,female,24,47,8,43,389
HP02212,male,31,41,12,44,382
HP02212,female,28,37,7,50,377
HP02213,male,27,51,5,42,398
HP02213,female,30,42,8,28,396
HP02257,male,20,61,1,34,377
HP02257,female,26,64,3,45,387
HP02265,male,21,52,4,42,369
HP02265,female,27,49,8,35,377
HP02278,male,21,47,5,31,362
HP02278,female,27,47,8,35,379
HP02285,male,26,39,4,43,388
HP02285,female,33,48,6,45,398
HP02298,male,30,44,3,36,393
HP02298,female,22,59,2,40,386
HP02302,male,18,43,3,35,358
HP02302,female,16,55,3,41,375
HP02316,male,50,48,5,56,409
HP02316,female,40,54,4,45,396
HP02318,male,22,48,6,35,427
HP02318,female,22,49,4,44,427
HP02331,male,19,53,4,32,348
HP02331,female,27,55,2,31,351
HP02336,male,28,51,1,34,381
HP02336,female,19,54,3,36,374
HP02337,male,28,40,5,40,362
HP02337,female,26,53,5,44,349
HP02338,male,18,36,4,33,303
HP02338,female,26,44,3,44,373
HP02359,male,36,50,1,53,399
HP02359,female,50,43,1,55,396
HP02360,male,26,42,5,41,391
HP02360,female,32,49,5,49,387
HP02364,male,38,47,4,45,418
HP02364,female,26,47,7,46,417
HP02368,male,32,47,12,40,383
HP02368,female,16,33,9,27,337
HP02371,male,23,62,4,49,400
HP02371,female,36,51,6,39,401
HP02375,male,22,53,9,38,373
HP02375,female,26,51,5,37,383
HP02386,male,25,52,1,37,376
HP02386,female,38,55,1,51,399
HP02403,male,16,51,9,37,373
HP02403,female,16,47,4,37,376
HP02420,male,29,37,3,30,394
HP02420,female,29,34,2,25,402
HP02423,male,21,54,3,35,365
HP02423,female,17,56,2,41,362
HP02427,male,22,60,10,64,402
HP02427,female,24,50,6,41,384
HP02434,male,27,46,7,43,377
HP02434,female,29,41,3,41,374
HP02448,male,22,45,4,37,322
HP02448,female,37,58,7,52,393
HP02455,male,21,59,6,37,390
HP02455,female,13,47,6,38,355
HP02458,male,30,61,5,48,401
HP02458,female,25,48,4,43,386
HP02466,male,32,44,10,46,388
HP02466,female,45,44,7,55,398
HP02467,male,21,57,1,40,381
HP02467,female,23,50,6,31,387
HP02473,male,29,58,4,36,395
HP02473,female,32,50,4,43,399
HP02475,male,15,52,4,36,372
HP02475,female,29,45,10,37,391
HP02484,male,16,51,4,35,394
HP02484,female,14,46,2,38,392
HP02487,male,28,47,2,37,407
HP02487,female,29,47,2,25,431
HP02489,male,25,60,2,40,381
HP02489,female,22,39,2,41,369
HP02496,male,32,42,1,35,417
HP02496,female,22,51,3,41,400
HP02513,male,24,59,8,38,418
HP02513,female,26,61,9,47,427
HP02517,male,13,25,1,23,354
HP02517,female,23,42,2,42,369
HP02528,male,21,64,6,45,418
HP02528,female,27,61,3,35,420
HP02532,male,22,48,4,32,374
HP02532,female,21,54,6,34,392
HP02536,male,17,27,5,28,371
HP02536,female,19,47,5,42,375
HP02537,male,28,50,4,48,396
HP02537,female,23,52,6,45,392
HP02538,male,33,69,6,52,441
HP02538,female,43,56,6,48,440
HP02540,male,26,51,2,40,376
HP02540,female,10,29,1,19,197
HP02551,male,14,37,5,22,288
HP02551,female,20,47,1,34,382
HP02553,male,29,45,2,38,388
HP02553,female,29,40,2,40,379
HP02565,male,34,35,5,41,366
HP02565,female,20,43,1,35,369
HP02566,male,36,44,3,34,401
HP02566,female,15,36,1,22,294
HP02571,male,26,40,2,34,396
HP02571,female,23,49,2,41,406
HP02594,male,30,47,3,41,395
HP02594,female,22,52,4,32,385
HP02596,male,16,49,4,31,391
HP02596,female,10,34,2,23,330
HP02606,male,11,45,4,31,380
HP02606,female,23,51,5,47,397
HP02622,male,45,40,4,50,406
HP02622,female,45,43,1,55,400
HP02629,male,29,53,3,32,387
HP02629,female,29,55,4,39,373
HP02631,male,18,50,4,37,364
HP02631,female,18,48,7,35,359
HP02635,male,24,51,1,33,375
HP02635,female,17,40,1,23,369
HP02653,male,29,49,1,50,369
HP02653,female,21,47,1,45,351
HP02654,male,32,46,5,47,412
HP02654,female,28,54,8,40,405
HP02673,male,19,54,2,37,410
HP02673,female,15,55,3,35,412
HP02677,male,19,47,2,40,402
HP02677,female,21,58,3,40,401
HP02687,male,23,52,4,40,368
HP02687,female,24,49,6,36,388
HP02703,male,35,56,6,53,402
HP02703,female,25,51,2,42,400
HP02718,male,31,49,22,44,376
HP02718,female,22,69,15,36,382
HP02719,male,44,53,2,58,403
HP02719,female,40,47,5,48,401
HP02726,male,30,47,5,40,406
HP02726,female,27,53,4,39,390
HP02742,male,33,55,8,37,429
HP02742,female,27,67,14,33,434
HP02743,male,26,57,12,44,405
HP02743,female,37,47,11,52,418
HP02745,male,21,55,3,26,379
HP02745,female,35,41,2,37,396
HP02768,male,29,53,9,69,452
HP02768,female,30,53,9,69,445
HP02772,male,29,41,3,41,418
HP02772,female,15,47,3,36,412
HP02781,male,17,55,1,27,391
HP02781,female,14,51,3,28,384
HP02787,male,23,51,3,53,388
HP02787,female,21,57,2,50,379
HP02788,male,13,48,2,36,372
HP02788,female,21,52,8,36,377
HP02796,male,31,49,6,44,413
HP02796,female,30,51,2,36,400
HP02804,male,41,49,2,60,393
HP02804,female,36,41,2,52,383
HP02807,male,32,46,5,45,385
HP02807,female,27,43,11,45,380
HP02808,male,24,55,2,40,383
HP02808,female,31,52,3,39,398
HP02812,male,21,51,3,31,364
HP02812,female,27,44,3,33,375
HP02825,male,23,56,3,38,365
HP02825,female,25,48,7,36,365
HP02833,male,24,61,3,47,382
HP02833,female,23,57,4,36,349
HP02834,male,30,56,10,50,420
HP02834,female,30,56,9,49,424
HP02835,male,28,56,2,40,385
HP02835,female,25,53,1,46,442
HP02841,male,42,41,3,38,421
HP02841,female,26,48,4,39,416
HP02843,male,27,41,1,39,394
HP02843,female,12,25,1,24,337
HP02864,male,27,52,6,41,382
HP02864,female,28,53,13,47,387
HP02866,male,32,50,11,42,399
HP02866,female,25,49,16,51,367
HP02872,male,26,71,2,46,409
HP02872,female,15,44,1,36,388
HP02873,male,11,41,2,27,257
HP02873,female,23,45,3,34,380
HP02884,male,45,33,1,34,374
HP02884,female,33,43,2,38,377
HP02895,male,32,55,9,45,407
HP02895,female,29,53,9,44,395
HP02898,male,13,25,3,25,218
HP02898,female,16,43,5,33,400
HP02900,male,26,61,2,43,402
HP02900,female,29,60,4,45,409
HP02908,male,24,63,2,45,407
HP02908,female,17,33,1,27,377
HP02941,male,26,58,5,42,390
HP02941,female,23,60,5,38,389
HP02944,male,25,56,3,43,382
HP02944,female,24,44,5,46,373
HP02956,male,29,40,8,50,404
HP02956,female,23,32,4,39,369
HP02957,male,23,49,2,33,353
HP02957,female,33,54,4,44,403
HP02959,male,35,49,9,52,415
HP02959,female,35,44,9,47,417
HP02963,male,32,52,5,40,392
HP02963,female,42,52,2,47,400
HP02970,male,30,55,4,55,385
HP02970,female,28,46,5,47,399
HP02972,male,33,45,14,53,380
HP02972,female,16,57,13,43,386
HP02999,male,19,44,2,32,388
HP02999,female,13,27,1,19,328
HP03003,male,31,45,8,59,376
HP03003,female,24,53,7,49,389
HP03008,male,37,52,9,47,378
HP03008,female,49,37,2,56,399
HP03015,male,15,47,3,30,385
HP03015,female,18,53,1,29,395
HP03021,male,32,29,4,42,293
HP03021,female,43,46,7,53,390
HP03023,male,29,45,2,36,360
HP03023,female,25,40,8,30,348
HP03036,male,36,45,3,38,429
HP03036,female,31,49,1,45,431
HP03037,male,21,47,1,47,382
HP03037,female,10,28,1,26,387
HP03040,male,20,52,3,23,363
HP03040,female,19,45,1,31,364
HP03043,male,30,52,4,44,374
HP03043,female,31,52,2,32,384
HP03060,male,27,62,8,44,405
HP03060,female,9,30,1,20,374
HP03061,male,25,57,8,30,382
HP03061,female,26,58,17,33,384
HP03064,male,17,54,1,44,368
HP03064,female,14,50,2,32,380
HP03073,male,29,51,7,39,368
HP03073,female,32,47,7,39,388
HP03078,male,31,51,5,42,403
HP03078,female,24,48,5,41,388
HP03089,male,17,62,3,54,380
HP03089,female,14,76,3,36,377
HP03122,male,23,46,7,33,375
HP03122,female,23,46,4,34,371
HP03124,male,38,52,10,44,393
HP03124,female,30,66,5,40,396
HP03125,male,38,50,7,58,416
HP03125,female,34,45,7,58,407
HP03134,male,11,34,4,29,240
HP03134,female,20,63,14,37,369
HP03148,male,17,40,5,29,394
HP03148,female,24,47,12,34,407
HP03157,male,22,65,6,47,409
HP03157,female,21,46,8,29,405
HP03180,male,33,47,14,40,389
HP03180,female,24,58,8,38,380
HP03182,male,32,42,2,36,412
HP03182,female,9,58,1,25,416
HP03189,male,35,41,5,41,370
HP03189,female,30,46,8,41,372
HP03203,male,13,28,1,24,285
HP03203,female,24,50,1,36,368
HP03204,male,29,56,11,43,410
HP03204,female,28,56,7,38,413
HP03207,male,34,45,5,42,389
HP03207,female,31,46,5,45,392
HP03224,male,39,50,6,50,426
HP03224,female,34,48,7,44,419
HP03226,male,29,33,5,43,395
HP03226,female,31,55,7,40,382
HP03237,male,23,58,1,45,363
HP03237,female,28,50,3,51,377
HP03277,male,26,54,7,42,404
HP03277,female,30,54,8,50,395
HP03284,male,32,60,5,54,398
HP03284,female,32,56,7,48,394
HP03286,male,30,45,2,41,375
HP03286,female,22,56,7,47,383
HP03288,male,21,46,7,33,379
HP03288,female,22,50,4,35,410
HP03293,male,36,51,1,48,380
HP03293,female,36,31,1,28,368
HP03303,male,29,57,1,31,381
HP03303,female,37,49,8,45,385
HP03305,male,20,56,4,46,385
HP03305,female,33,44,3,35,391
HP03327,male,25,46,9,41,389
HP03327,female,22,35,6,32,381
HP03335,male,32,40,1,36,351
HP03335,female,21,43,1,39,341
HP03347,male,30,51,10,50,389
HP03347,female,31,55,5,37,390
HP03372,male,21,46,3,32,385
HP03372,female,25,43,4,24,378
HP03379,male,44,52,9,52,407
HP03379,female,28,48,9,39,399
HP03381,male,19,33,3,31,274
HP03381,female,29,51,6,48,403
HP03389,male,30,53,16,46,394
HP03389,female,31,43,15,58,396
HP03392,male,26,42,2,43,371
HP03392,female,15,48,2,32,360
HP03395,male,20,34,1,27,295
HP03395,female,36,46,4,53,399
HP03416,male,29,46,4,38,352
HP03416,female,31,46,2,48,376
HP03425,male,21,54,5,38,364
HP03425,female,28,54,3,51,408
HP03427,male,17,47,11,39,386
HP03427,female,19,60,7,39,387
HP03431,male,25,51,7,41,402
HP03431,female,29,49,8,40,400
HP03433,male,23,54,2,51,370
HP03433,female,30,53,4,39,394
HP03436,male,26,37,1,40,393
HP03436,female,28,41,1,50,398
HP03437,male,29,46,5,36,413
HP03437,female,20,48,8,37,391
HP03439,male,19,55,3,49,374
HP03439,female,21,45,6,47,369
HP03440,male,28,36,3,52,377
HP03440,female,25,61,1,40,377
HP03449,male,28,41,2,29,382
HP03449,female,33,43,2,47,388
HP03450,male,31,60,2,50,386
HP03450,female,35,41,1,48,394
HP03453,male,20,49,5,37,373
HP03453,female,22,52,10,45,368
HP03457,male,25,46,12,41,415
HP03457,female,31,46,5,42,409
HP03475,male,19,63,6,40,392
HP03475,female,17,70,4,42,388
HP03476,male,33,54,12,65,402
HP03476,female,33,55,7,47,411
HP03486,male,14,44,5,38,370
HP03486,female,27,55,2,48,370
HP03489,male,26,47,4,51,378
HP03489,female,12,25,3,23,220
HP03494,male,29,64,7,48,407
HP03494,female,27,65,5,45,409
HP03505,male,35,43,2,45,356
HP03505,female,23,47,4,42,331
HP03507,male,23,56,1,26,412
HP03507,female,30,49,7,31,411
HP03513,male,23,57,1,53,405
HP03513,female,19,47,2,43,409
HP03514,male,26,53,2,40,415
HP03514,female,22,70,2,38,404
HP03520,male,32,53,1,44,416
HP03520,female,37,56,1,53,417
HP03526,male,27,55,2,45,380
HP03526,female,30,52,4,48,377
HP03533,male,20,60,5,35,391
HP03533,female,19,61,11,38,400
HP03555,male,18,60,7,40,371
HP03555,female,6,22,1,17,364
HP03558,male,32,57,10,39,412
HP03558,female,26,47,7,35,404
HP03577,male,39,38,4,36,379
HP03577,female,31,44,4,34,382
HP03581,male,19,43,1,43,378
HP03581,female,21,33,1,39,361
HP03586,male,29,31,1,28,374
HP03586,female,17,30,3,29,317
HP03613,male,15,37,2,37,318
HP03613,female,27,54,9,56,387
HP03615,male,22,54,1,39,374
HP03615,female,25,39,1,28,375
HP03620,male,21,53,2,29,388
HP03620,female,31,53,2,39,387
HP03624,male,27,51,8,40,391
HP03624,female,32,49,1,35,373
HP03635,male,31,38,1,28,393
HP03635,female,29,39,2,36,370
HP03641,male,16,39,5,38,361
HP03641,female,10,58,4,43,335
HP03650,male,14,44,8,30,289
HP03650,female,12,68,5,38,410
HP03653,male,34,50,1,43,340
HP03653,female,17,57,5,40,353
HP03655,male,12,54,4,39,409
HP03655,female,29,66,21,43,421
HP03662,male,42,57,6,50,418
HP03662,female,34,52,9,48,414
HP03667,male,17,39,4,24,375
HP03667,female,26,49,4,35,395
HP03669,male,22,54,3,44,396
HP03669,female,20,51,2,45,399
HP03684,male,26,49,6,50,411
HP03684,female,24,53,9,50,381
HP03693,male,23,42,6,46,387
HP03693,female,33,52,6,54,388
HP03704,male,26,47,16,37,391
HP03704,female,30,49,4,33,405
HP03707,male,36,40,2,34,366
HP03707,female,15,42,1,34,354
HP03729,male,16,59,1,46,396
HP03729,female,23,64,8,42,411
HP03744,male,38,43,7,47,406
HP03744,female,31,40,3,40,410
HP03761,male,26,67,9,40,401
HP03761,female,29,66,8,38,403
HP03768,male,35,53,2,39,412
HP03768,female,34,66,1,47,395
HP03771,male,17,57,4,36,380
HP03771,female,22,63,5,47,399
HP03776,male,17,45,7,41,400
HP03776,female,27,36,3,44,402
HP03783,male,21,57,2,39,386
HP03783,female,30,47,2,43,406
HP03795,male,27,76,1,50,394
HP03795,female,23,64,4,55,397
HP03800,male,42,46,3,48,410
HP03800,female,44,49,3,47,410
HP03803,male,19,47,5,33,360
HP03803,female,19,36,1,25,331
HP03809,male,31,44,7,37,420
HP03809,female,26,55,8,43,402
HP03813,male,27,57,1,47,400
HP03813,female,26,55,2,42,406
HP03817,male,11,59,1,45,443
HP03817,female,13,56,1,49,446
HP03824,male,17,50,3,47,363
HP03824,female,16,44,6,36,360
HP03826,male,9,34,1,25,218
HP03826,female,14,54,1,33,370
HP03833,male,27,46,3,40,409
HP03833,female,23,56,2,38,399
HP03839,male,24,55,10,50,397
HP03839,female,19,56,5,41,401
HP03841,male,6,26,3,21,241
HP03841,female,27,49,7,48,396
HP03852,male,17,42,2,35,305
HP03852,female,21,39,1,38,375
HP03859,male,31,45,6,45,404
HP03859,female,31,54,2,63,391
HP03862,male,17,25,2,24,205
HP03862,female,30,41,2,25,386
HP03869,male,39,46,4,46,422
HP03869,female,40,48,3,48,429
HP03873,male,34,52,10,43,396
HP03873,female,25,59,7,41,399
HP03894,male,34,55,6,45,405
HP03894,female,31,61,11,34,408
HP03897,male,24,45,3,51,410
HP03897,female,21,50,7,52,393
HP03910,male,20,43,3,33,364
HP03910,female,12,39,1,34,354
HP03929,male,30,45,7,47,395
HP03929,female,15,43,4,35,387
HP03933,male,37,48,4,50,407
HP03933,female,22,50,1,42,399
HP03940,male,20,45,3,43,373
HP03940,female,20,42,1,21,382
HP03953,male,31,55,4,54,427
HP03953,female,25,57,5,59,424
HP03977,male,28,57,6,45,384
HP03977,female,22,56,3,43,391
HP03989,male,29,55,8,44,419
HP03989,female,25,55,5,45,419
HP03998,male,29,54,2,28,405
HP03998,female,30,60,1,32,407
